date,rain_mm
2013.4.25,4.5
2013.4.26,0.1
2013.4.27,
2013.4.28,
2013.4.29,21
2013.4.30,
2013.5.1,1
2013.5.2,1
2013.5.3,0
2013.5.4,
2013.5.5,
2013.5.6,
2013.5.7,
2013.5.8,
2013.5.9,2.5
2013.5.10,22
2013.5.11,
2013.5.12,1
2013.5.13,
2013.5.14,
2013.5.15,
2013.5.16,
2013.5.17,
2013.5.18,14.5
2013.5.19,19.5
2013.5.20,
2013.5.21,
2013.5.22,
2013.5.23,
2013.5.24,
2013.5.25,
2013.5.26,
2013.5.27,56.5
2013.5.28,11.5
2013.5.29,2.5
2013.5.30,
2013.5.31,
2013.6.1,
2013.6.2,
2013.6.3,
2013.6.4,0.2
2013.6.5,
2013.6.6,
2013.6.7,
2013.6.8,
2013.6.9,
2013.6.10,
2013.6.11,7
2013.6.12,6.5
2013.6.13,
2013.6.14,
2013.6.15,
2013.6.16,
2013.6.17,0.5
2013.6.18,12
2013.6.19,0.1
2013.6.20,
2013.6.21,
2013.6.22,
2013.6.23,0.3
2013.6.24,
2013.6.25,
2013.6.26,0
2013.6.27,
2013.6.28,1.5
2013.6.29,
2013.6.30,0.2
2013.7.1,
2013.7.2,51.5
2013.7.3,
2013.7.4,32.5
2013.7.5,1
2013.7.6,
2013.7.7,3
2013.7.8,68
2013.7.9,6.5
2013.7.10,1
2013.7.11,14
2013.7.12,74
2013.7.13,165
2013.7.14,23
2013.7.15,3.5
2013.7.16,1.5
2013.7.17,18.5
2013.7.18,26.5
2013.7.19,
2013.7.20,1
2013.7.21,0.5
2013.7.22,84.5
2013.7.23,56.5
2013.7.24,11.5
2013.7.25,0
2013.7.26,
2013.7.27,0.2
2013.7.28,11
2013.7.29,3.5
2013.7.30,9.5
2013.7.31,8.5
2013.8.1,
2013.8.2,7.5
2013.8.3,0.1
2013.8.4,4.5
2013.8.5,7
2013.8.6,45
2013.8.7,
2013.8.8,
2013.8.9,0
2013.8.10,2
2013.8.11,
2013.8.12,
2013.8.13,
2013.8.14,
2013.8.15,0
2013.8.16,4.5
2013.8.17,
2013.8.18,13
2013.8.19,6
2013.8.20,
2013.8.21,
2013.8.22,0
2013.8.23,35
2013.8.24,
2013.8.25,
2013.8.26,
2013.8.27,
2013.8.28,
2013.8.29,21.5
2013.8.30,
2013.8.31,2.5
2013.9.1,
2013.9.2,
2013.9.3,
2013.9.4,
2013.9.5,0
2013.9.6,0
2013.9.7,
2013.9.8,
2013.9.9,
2013.9.10,11.5
2013.9.11,36.5
2013.9.12,0.5
2013.9.13,50
2013.9.14,11.5
2013.9.15,
2013.9.16,
2013.9.17,
2013.9.18,
2013.9.19,
2013.9.20,
2013.9.21,
2013.9.22,0
2013.9.23,
2013.9.24,4.5
2013.9.25,
2013.9.26,
2013.9.27,
2013.9.28,4
2013.9.29,19
2013.9.30,1
2013.10.1,
2013.10.2,
2013.10.3,
2013.10.4,
2013.10.5,
2013.10.6,0
2013.10.7,
2013.10.8,3
2013.10.9,
2013.10.10,
2013.10.11,6.5
2013.10.12,
2013.10.13,
2013.10.14,
2013.10.15,3.5
2013.10.16,
2013.10.17,
2013.10.18,
2013.10.19,
2013.10.20,
2013.10.21,
2013.10.22,
2013.10.23,
2013.10.24,
2013.10.25,
2013.10.26,
2013.10.27,
2013.10.28,
2013.10.29,0.5
2013.10.30,
2013.10.31,
2013.11.1,
2013.11.2,7.5
2013.11.3,0
2013.11.4,
2013.11.5,
2013.11.6,1
2013.11.7,0.1
2013.11.8,
2013.11.9,5.5
2013.11.10,0
2013.11.11,
2013.11.12,
2013.11.13,
2013.11.14,1
2013.11.15,2
2013.11.16,2
2013.11.17,1
2013.11.18,0
2013.11.19,0
2013.11.20,
2013.11.21,
2013.11.22,
2013.11.23,
2013.11.24,14
2013.11.25,9.5
2013.11.26,1.5
2013.11.27,1.7
2013.11.28,
2013.11.29,0
2013.11.30,
2013.12.1,
2013.12.2,0
2013.12.3,
2013.12.4,
2013.12.5,
2013.12.6,0
2013.12.7,0.1
2013.12.8,0
2013.12.9,14
2013.12.10,
2013.12.11,2.6
2013.12.12,4.1
2013.12.13,
2013.12.14,1.1
2013.12.15,
2013.12.16,
2013.12.17,
2013.12.18,0.8
2013.12.19,0.3
2013.12.20,0
2013.12.21,
2013.12.22,
2013.12.23,
2013.12.24,
2013.12.25,
2013.12.26,1.6
2013.12.27,
2013.12.28,
2013.12.29,0.1
2013.12.30,
2013.12.31,
2014.3.1,
2014.3.2,
2014.3.3,
2014.3.4,
2014.3.5,0
2014.3.6,0
2014.3.7,
2014.3.8,
2014.3.9,2.2
2014.3.10,
2014.3.11,
2014.3.12,0.2
2014.3.13,0
2014.3.14,
2014.3.15,
2014.3.16,
2014.3.17,0.5
2014.3.18,0.4
2014.3.19,
2014.3.20,0.4
2014.3.21,
2014.3.22,
2014.3.23,
2014.3.24,0
2014.3.25,0
2014.3.26,0
2014.3.27,
2014.3.28,
2014.3.29,3.5
2014.3.30,0
2014.3.31,
2014.4.1,
2014.4.2,
2014.4.3,0.5
2014.4.4,
2014.4.5,0
2014.4.6,
2014.4.7,
2014.4.8,
2014.4.9,
2014.4.10,
2014.4.11,
2014.4.12,
2014.4.13,
2014.4.14,
2014.4.15,
2014.4.16,
2014.4.17,3
2014.4.18,
2014.4.19,
2014.4.20,
2014.4.21,
2014.4.22,
2014.4.23,
2014.4.24,
2014.4.25,
2014.4.26,
2014.4.27,8.5
2014.4.28,13.5
2014.4.29,5.5
2014.4.30,0
2014.5.1,
2014.5.2,1
2014.5.3,
2014.5.4,0.2
2014.5.5,
2014.5.6,
2014.5.7,2
2014.5.8,4
2014.5.9,
2014.5.10,
2014.5.11,23
2014.5.12,10
2014.5.13,
2014.5.14,
2014.5.15,0.3
2014.5.16,
2014.5.17,
2014.5.18,
2014.5.19,
2014.5.20,
2014.5.21,
2014.5.22,
2014.5.23,
2014.5.24,
2014.5.25,21
2014.5.26,1.5
2014.5.27,
2014.5.28,
2014.5.29,
2014.5.30,
2014.5.31,
2014.6.1,
2014.6.2,2
2014.6.3,33
2014.6.4,
2014.6.5,
2014.6.6,
2014.6.7,
2014.6.8,
2014.6.9,
2014.6.10,5.5
2014.6.11,19
2014.6.12,0.1
2014.6.13,0
2014.6.14,
2014.6.15,
2014.6.16,
2014.6.17,3.5
2014.6.18,0.1
2014.6.19,0
2014.6.20,1.5
2014.6.21,8.5
2014.6.22,0.4
2014.6.23,24.5
2014.6.24,
2014.6.25,
2014.6.26,
2014.6.27,
2014.6.28,0
2014.6.29,
2014.6.30,
2014.7.1,
2014.7.2,20.5
2014.7.3,2
2014.7.4,
2014.7.5,
2014.7.6,
2014.7.7,
2014.7.8,0.2
2014.7.9,0.5
2014.7.10,
2014.7.11,
2014.7.12,
2014.7.13,
2014.7.14,
2014.7.15,
2014.7.16,
2014.7.17,0.2
2014.7.18,1.5
2014.7.19,
2014.7.20,
2014.7.21,
2014.7.22,16.5
2014.7.23,55
2014.7.24,48
2014.7.25,59.5
2014.7.26,2.5
2014.7.27,
2014.7.28,
2014.7.29,
2014.7.30,
2014.7.31,1.5
2014.8.1,
2014.8.2,0
2014.8.3,13
2014.8.4,6.5
2014.8.5,0
2014.8.6,10.5
2014.8.7,0.2
2014.8.8,
2014.8.9,
2014.8.10,42.5
2014.8.11,
2014.8.12,
2014.8.13,0
2014.8.14,0.5
2014.8.15,
2014.8.16,
2014.8.17,3
2014.8.18,11.5
2014.8.19,4.5
2014.8.20,0.5
2014.8.21,46.5
2014.8.22,15
2014.8.23,0.5
2014.8.24,0.1
2014.8.25,0
2014.8.26,11.5
2014.8.27,
2014.8.28,
2014.8.29,6.5
2014.8.30,
2014.8.31,
2014.9.1,1.5
2014.9.2,6
2014.9.3,57.5
2014.9.4,
2014.9.5,
2014.9.6,
2014.9.7,
2014.9.8,
2014.9.9,
2014.9.10,
2014.9.11,
2014.9.12,0.1
2014.9.13,
2014.9.14,
2014.9.15,
2014.9.16,
2014.9.17,
2014.9.18,
2014.9.19,
2014.9.20,
2014.9.21,0
2014.9.22,
2014.9.23,
2014.9.24,6.5
2014.9.25,
2014.9.26,0
2014.9.27,
2014.9.28,0.5
2014.9.29,16
2014.9.30,
2014.10.1,
2014.10.2,9
2014.10.3,
2014.10.4,
2014.10.5,
2014.10.6,
2014.10.7,
2014.10.8,
2014.10.9,
2014.10.10,
2014.10.11,
2014.10.12,
2014.10.13,
2014.10.14,
2014.10.15,
2014.10.16,2.5
2014.10.17,
2014.10.18,
2014.10.19,
2014.10.20,21.5
2014.10.21,18.5
2014.10.22,
2014.10.23,
2014.10.24,
2014.10.25,
2014.10.26,0.5
2014.10.27,
2014.10.28,
2014.10.29,
2014.10.30,
2014.10.31,0.2
2014.11.1,
2014.11.2,2.5
2014.11.3,
2014.11.4,
2014.11.5,
2014.11.6,0.5
2014.11.7,
2014.11.8,
2014.11.9,
2014.11.10,
2014.11.11,2
