date,rain_mm
2017.4.7,
2017.4.8,0.5
2017.4.9,0.5
2017.4.10,
2017.4.11,
2017.4.12,
2017.4.13,0
2017.4.14,6
2017.4.15,
2017.4.16,
2017.4.17,5.5
2017.4.18,7.5
2017.4.19,
2017.4.20,0.1
2017.4.21,
2017.4.22,
2017.4.23,
2017.4.24,
2017.4.25,
2017.4.26,
2017.4.27,
2017.4.28,
2017.4.29,
2017.4.30,
2017.5.1,
2017.5.2,
2017.5.3,
2017.5.4,
2017.5.5,
2017.5.6,
2017.5.7,
2017.5.8,
2017.5.9,2.5
2017.5.10,2.5
2017.5.11,0
2017.5.12,
2017.5.13,6
2017.5.14,
2017.5.15,0
2017.5.16,
2017.5.17,
2017.5.18,
2017.5.19,
2017.5.20,
2017.5.21,
2017.5.22,
2017.5.23,5
2017.5.24,0.1
2017.5.25,
2017.5.26,
2017.5.27,
2017.5.28,
2017.5.29,
2017.5.30,
2017.5.31,
2017.6.1,
2017.6.2,0
2017.6.3,
2017.6.4,
2017.6.5,0
2017.6.6,15.5
2017.6.7,12.5
2017.6.8,
2017.6.9,0.1
2017.6.10,4.5
2017.6.11,
2017.6.12,
2017.6.13,0
2017.6.14,
2017.6.15,
2017.6.16,
2017.6.17,
2017.6.18,
2017.6.19,
2017.6.20,0
2017.6.21,0
2017.6.22,
2017.6.23,
2017.6.24,3.5
2017.6.25,1.5
2017.6.26,29
2017.6.27,0
2017.6.28,
2017.6.29,
2017.6.30,
2017.7.1,0.5
2017.7.2,92
2017.7.3,67.5
2017.7.4,0.5
2017.7.5,
2017.7.6,34
2017.7.7,16.5
2017.7.8,4.5
2017.7.9,32.5
2017.7.10,144.5
2017.7.11,1
2017.7.12,0
2017.7.13,
2017.7.14,0
2017.7.15,42.5
2017.7.16,22.5
2017.7.17,7.5
2017.7.18,2.5
2017.7.19,
2017.7.20,
2017.7.21,
2017.7.22,0.5
2017.7.23,133.5
2017.7.24,3
2017.7.25,
2017.7.26,
2017.7.27,3.5
2017.7.28,8.5
2017.7.29,0
2017.7.30,
2017.7.31,3.5
2017.8.1,2
2017.8.2,
2017.8.3,
2017.8.4,
2017.8.5,0
2017.8.6,5
2017.8.7,
2017.8.8,
2017.8.9,2.5
2017.8.10,5.5
2017.8.11,0.5
2017.8.12,
2017.8.13,0
2017.8.14,1.5
2017.8.15,93.5
2017.8.16,2
2017.8.17,0.5
2017.8.18,0
2017.8.19,0
2017.8.20,124.5
2017.8.21,5
2017.8.22,
2017.8.23,31.5
2017.8.24,14
2017.8.25,
2017.8.26,
2017.8.27,0
2017.8.28,9
2017.8.29,
2017.8.30,
2017.8.31,
2017.9.1,
2017.9.2,
2017.9.3,
2017.9.4,
2017.9.5,0
2017.9.6,2
2017.9.7,
2017.9.8,
2017.9.9,
2017.9.10,0.5
2017.9.11,24
2017.9.12,
2017.9.13,
2017.9.14,
2017.9.15,
2017.9.16,
2017.9.17,
2017.9.18,
2017.9.19,8
2017.9.20,
2017.9.21,
2017.9.22,
2017.9.23,0
2017.9.24,0
2017.9.25,
2017.9.26,0
2017.9.27,0.5
2017.9.28,
2017.9.29,
2017.9.30,
2017.10.1,4
2017.10.2,1.5
2017.10.3,
2017.10.4,
2017.10.5,
2017.10.6,0.5
2017.10.7,0
2017.10.8,
2017.10.9,0
2017.10.10,0.4
2017.10.11,20
2017.10.12,
2017.10.13,
2017.10.14,
2017.10.15,
2017.10.16,
2017.10.17,
2017.10.18,0.1
2017.10.19,
2017.10.20,
2017.10.21,
2017.10.22,
2017.10.23,
2017.10.24,
2017.10.25,
2017.10.26,
2017.10.27,
2017.10.28,
2017.10.29,
2017.10.30,
2017.10.31,
2017.11.1,
2017.11.2,1
2017.11.3,1.5
2017.11.4,
2017.11.5,
2017.11.6,
2017.11.7,0
2017.11.8,0
2017.11.9,
2017.11.10,7.5
2017.11.11,
2017.11.12,
2017.11.13,4.5
2017.11.14,
2017.11.15,
2017.11.16,
2017.11.17,0
2017.11.18,
2017.11.19,
2017.11.20,0
2017.11.21,
2017.11.22,0.5
2017.11.23,1.2
2017.11.24,0
2017.11.25,24
2017.11.26,
2017.11.27,
2017.11.28,0.5
2017.11.29,0
2017.11.30,
2017.12.1,0
2017.12.2,
2017.12.3,4
2017.12.4,0.1
2017.12.5,0.1
2017.12.6,1.2
2017.12.7,
2017.12.8,
2017.12.9,
2017.12.10,4.1
2017.12.11,
2017.12.12,
2017.12.13,
2017.12.14,
2017.12.15,0
2017.12.16,
2017.12.17,
2017.12.18,3.4
2017.12.19,
2017.12.20,0.2
2017.12.21,
2017.12.22,
2017.12.23,
2017.12.24,20
2017.12.25,
2017.12.26,
2017.12.27,
2017.12.28,0
2017.12.29,0
2017.12.30,0.7
2017.12.31,1
2018.3.1,0.5
2018.3.2,
2018.3.3,0
2018.3.4,11.5
2018.3.5,3.5
2018.3.6,
2018.3.7,0.5
2018.3.8,4
2018.3.9,
2018.3.10,
2018.3.11,
2018.3.12,
2018.3.13,
2018.3.14,
2018.3.15,27
2018.3.16,
2018.3.17,
2018.3.18,0.5
2018.3.19,1
2018.3.20,
2018.3.21,1
2018.3.22,
2018.3.23,
2018.3.24,
2018.3.25,
2018.3.26,
2018.3.27,
2018.3.28,
2018.3.29,
2018.3.30,
2018.3.31,
2018.4.1,
2018.4.2,
2018.4.3,0.1
2018.4.4,18.5
2018.4.5,10.5
2018.4.6,6.5
2018.4.7,0.2
2018.4.8,3
2018.4.9,
2018.4.10,5
2018.4.11,
2018.4.12,
2018.4.13,
2018.4.14,9
2018.4.15,
2018.4.16,
2018.4.17,
2018.4.18,
2018.4.19,
2018.4.20,
2018.4.21,
2018.4.22,15.5
2018.4.23,59
2018.4.24,3
2018.4.25,
2018.4.26,
2018.4.27,
2018.4.28,
2018.4.29,
2018.4.30,
2018.5.1,0
2018.5.2,12
2018.5.3,1
2018.5.4,
2018.5.5,
2018.5.6,22
2018.5.7,
2018.5.8,
2018.5.9,
2018.5.10,
2018.5.11,
2018.5.12,32
2018.5.13,0.5
2018.5.14,
2018.5.15,0
2018.5.16,45
2018.5.17,83
2018.5.18,6.5
2018.5.19,
2018.5.20,
2018.5.21,
2018.5.22,12.5
2018.5.23,6.5
2018.5.24,
2018.5.25,
2018.5.26,
2018.5.27,
2018.5.28,
2018.5.29,1
2018.5.30,0
2018.5.31,
2018.6.1,
2018.6.2,
2018.6.3,
2018.6.4,
2018.6.5,
2018.6.6,
2018.6.7,
2018.6.8,
2018.6.9,0.5
2018.6.10,0.5
2018.6.11,5
2018.6.12,0
2018.6.13,0
2018.6.14,29
2018.6.15,16.5
2018.6.16,
2018.6.17,
2018.6.18,
2018.6.19,
2018.6.20,
2018.6.21,
2018.6.22,
2018.6.23,
2018.6.24,
2018.6.25,
2018.6.26,71.5
2018.6.27,1
2018.6.28,26.5
2018.6.29,6.5
2018.6.30,14.5
2018.7.1,83.5
2018.7.2,59.5
2018.7.3,0.1
2018.7.4,
2018.7.5,0.5
2018.7.6,
2018.7.7,
2018.7.8,
2018.7.9,14
2018.7.10,16.5
2018.7.11,3
2018.7.12,1
2018.7.13,
2018.7.14,0
2018.7.15,
2018.7.16,
2018.7.17,
2018.7.18,
2018.7.19,
2018.7.20,
2018.7.21,
2018.7.22,
2018.7.23,
2018.7.24,
2018.7.25,
2018.7.26,
2018.7.27,
2018.7.28,7.5
2018.7.29,
2018.7.30,
2018.7.31,
2018.8.1,
2018.8.2,
2018.8.3,
2018.8.4,
2018.8.5,2
2018.8.6,6.5
2018.8.7,
2018.8.8,
2018.8.9,2
2018.8.10,
2018.8.11,
2018.8.12,5
2018.8.13,1
2018.8.14,
2018.8.15,1
2018.8.16,
2018.8.17,
2018.8.18,
2018.8.19,
2018.8.20,0
2018.8.21,5
2018.8.22,
2018.8.23,3
2018.8.24,7.5
2018.8.25,
2018.8.26,2
2018.8.27,19.5
2018.8.28,96.5
2018.8.29,42
2018.8.30,9.5
2018.8.31,0.1
2018.9.1,
2018.9.2,
2018.9.3,34.5
2018.9.4,
2018.9.5,
2018.9.6,1
2018.9.7,0.5
2018.9.8,
2018.9.9,
2018.9.10,
2018.9.11,
2018.9.12,
2018.9.13,
2018.9.14,0.5
2018.9.15,0.2
2018.9.16,2
2018.9.17,0.1
2018.9.18,
2018.9.19,0.2
2018.9.20,5
2018.9.21,18
2018.9.22,6.5
2018.9.23,0
2018.9.24,
2018.9.25,
2018.9.26,
2018.9.27,
2018.9.28,
2018.9.29,
2018.9.30,
2018.10.1,0
2018.10.2,
2018.10.3,
2018.10.4,
2018.10.5,36.5
2018.10.6,55.5
2018.10.7,
2018.10.8,
2018.10.9,0
2018.10.10,7
2018.10.11,
2018.10.12,
2018.10.13,
2018.10.14,
2018.10.15,
2018.10.16,
2018.10.17,
2018.10.18,
2018.10.19,
2018.10.20,
2018.10.21,
2018.10.22,
2018.10.23,5
2018.10.24,
2018.10.25,
2018.10.26,11
2018.10.27,
2018.10.28,5.5
2018.10.29,0
2018.10.30,0
2018.10.31,0
2018.11.1,
2018.11.2,
2018.11.3,
2018.11.4,
2018.11.5,
2018.11.6,
2018.11.7,2
2018.11.8,64
2018.11.9,1
2018.11.10,0
2018.11.11,0
2018.11.12,
2018.11.13,
2018.11.14,
2018.11.15,
2018.11.16,
2018.11.17,
2018.11.18,
2018.11.19,
2018.11.20,0.2
2018.11.21,1
2018.11.22,
2018.11.23,
2018.11.24,10.9
2018.11.25,
2018.11.26,
2018.11.27,
2018.11.28,
2018.11.29,0
2018.11.30,
2018.12.1,
2018.12.2,
2018.12.3,9.5
2018.12.4,5
2018.12.5,
2018.12.6,0
2018.12.7,
2018.12.8,
2018.12.9,
2018.12.10,
2018.12.11,
2018.12.12,
2018.12.13,1.3
2018.12.14,
2018.12.15,
2018.12.16,0.3
2018.12.17,0.3
2018.12.18,
2018.12.19,
2018.12.20,
2018.12.21,
2018.12.22,
2018.12.23,
2018.12.24,
2018.12.25,
2018.12.26,
2018.12.27,
2018.12.28,
2018.12.29,
2018.12.30,
2018.12.31,
2019.3.1,
2019.3.2,
2019.3.3,
2019.3.4,
2019.3.5,
2019.3.6,
2019.3.7,
2019.3.8,
2019.3.9,
2019.3.10,
2019.3.11,0
2019.3.12,0
2019.3.13,0
2019.3.14,0
2019.3.15,3.5
2019.3.16,
2019.3.17,
2019.3.18,
2019.3.19,
2019.3.20,16.5
2019.3.21,3.3
2019.3.22,
2019.3.23,1.7
2019.3.24,
2019.3.25,
2019.3.26,
2019.3.27,
2019.3.28,
2019.3.29,
2019.3.30,1.8
2019.3.31,0
2019.4.1,
2019.4.2,
2019.4.3,
2019.4.4,
2019.4.5,0
2019.4.6,0.8
2019.4.7,
2019.4.8,
2019.4.9,17.4
2019.4.10,5.6
2019.4.11,
2019.4.12,
2019.4.13,
2019.4.14,1.7
2019.4.15,
2019.4.16,
2019.4.17,
2019.4.18,0
2019.4.19,
2019.4.20,1.2
2019.4.21,0.3
2019.4.22,
2019.4.23,0
2019.4.24,4.1
2019.4.25,11.3
2019.4.26,4.9
2019.4.27,
2019.4.28,0
2019.4.29,
2019.4.30,
2019.5.1,
2019.5.2,
2019.5.3,
2019.5.4,
2019.5.5,
2019.5.6,0
2019.5.7,
2019.5.8,
2019.5.9,
2019.5.10,
2019.5.11,
2019.5.12,
2019.5.13,0
2019.5.14,
2019.5.15,
2019.5.16,
2019.5.17,
2019.5.18,0
2019.5.19,22
2019.5.20,8.7
2019.5.21,
2019.5.22,
2019.5.23,
2019.5.24,
2019.5.25,
2019.5.26,
2019.5.27,7.1
2019.5.28,
2019.5.29,
2019.5.30,0
2019.5.31,
2019.6.1,
2019.6.2,
2019.6.3,
2019.6.4,
2019.6.5,
2019.6.6,7.5
2019.6.7,35.3
2019.6.8,
2019.6.9,2.5
2019.6.10,9.5
2019.6.11,
2019.6.12,
2019.6.13,
2019.6.14,
2019.6.15,2.1
2019.6.16,
2019.6.17,0
2019.6.18,13.8
2019.6.19,0.2
2019.6.20,
2019.6.21,0.2
2019.6.22,
2019.6.23,
2019.6.24,
2019.6.25,
2019.6.26,0
2019.6.27,1.4
2019.6.28,0
2019.6.29,1.5
2019.6.30,0
2019.7.1,
2019.7.2,
2019.7.3,
2019.7.4,
2019.7.5,0
2019.7.6,
2019.7.7,
2019.7.8,
2019.7.9,
2019.7.10,8.5
2019.7.11,2.9
2019.7.12,
2019.7.13,0
2019.7.14,
2019.7.15,7.7
2019.7.16,6.3
2019.7.17,0.7
2019.7.18,
2019.7.19,0
2019.7.20,1.1
2019.7.21,6.2
2019.7.22,0.1
2019.7.23,
2019.7.24,1
2019.7.25,9.7
2019.7.26,60
2019.7.27,0.6
2019.7.28,25.6
2019.7.29,0.5
2019.7.30,1.2
2019.7.31,62.3
2019.8.1,26.9
2019.8.2,
2019.8.3,3
2019.8.4,8.6
2019.8.5,
2019.8.6,
2019.8.7,8
2019.8.8,0
2019.8.9,
2019.8.10,
2019.8.11,6.7
2019.8.12,56.2
2019.8.13,6.4
2019.8.14,
2019.8.15,16.2
2019.8.16,0.1
2019.8.17,0
2019.8.18,
2019.8.19,
2019.8.20,
2019.8.21,1.3
2019.8.22,
2019.8.23,
2019.8.24,
2019.8.25,
2019.8.26,
2019.8.27,20
2019.8.28,
2019.8.29,36.9
2019.8.30,0.2
2019.8.31,
2019.9.1,
2019.9.2,
2019.9.3,0
2019.9.4,22.7
2019.9.5,36.4
2019.9.6,2.4
2019.9.7,2.8
2019.9.8,0
2019.9.9,0
2019.9.10,63.2
2019.9.11,7.6
2019.9.12,3.9
2019.9.13,0.1
2019.9.14,0.3
2019.9.15,
2019.9.16,
2019.9.17,
2019.9.18,
2019.9.19,
2019.9.20,
2019.9.21,
2019.9.22,0.4
2019.9.23,
2019.9.24,
2019.9.25,
2019.9.26,
2019.9.27,
2019.9.28,
2019.9.29,
2019.9.30,
2019.10.1,
2019.10.2,23.1
2019.10.3,4.6
2019.10.4,
2019.10.5,0.6
2019.10.6,
2019.10.7,25.4
2019.10.8,
2019.10.9,
2019.10.10,
2019.10.11,
2019.10.12,
2019.10.13,
2019.10.14,
2019.10.15,
2019.10.16,
2019.10.17,
2019.10.18,
2019.10.19,
2019.10.20,
2019.10.21,
2019.10.22,
2019.10.23,
2019.10.24,
2019.10.25,0
2019.10.26,
2019.10.27,
2019.10.28,1.7
2019.10.29,0.1
2019.10.30,
2019.10.31,
2019.11.1,
2019.11.2,
2019.11.3,
2019.11.4,
2019.11.5,
2019.11.6,
2019.11.7,
2019.11.8,
2019.11.9,
2019.11.10,11.8
2019.11.11,1.1
2019.11.12,
2019.11.13,7.5
2019.11.14,
2019.11.15,18.8
2019.11.16,
2019.11.17,21.1
2019.11.18,14.7
2019.11.19,0
2019.11.20,
2019.11.21,
2019.11.22,
2019.11.23,
2019.11.24,3.8
2019.11.25,
2019.11.26,
2019.11.27,
2019.11.28,
2019.11.29,
2019.11.30,
2019.12.1,3.3
2019.12.2,
2019.12.3,0.6
2019.12.4,0
2019.12.5,
2019.12.6,
2019.12.7,0.1
2019.12.8,
2019.12.9,0
2019.12.10,1.7
2019.12.11,0.2
2019.12.12,
2019.12.13,1
2019.12.14,0
2019.12.15,
2019.12.16,
2019.12.17,9.8
2019.12.18,
2019.12.19,0
2019.12.20,0
2019.12.21,0.6
2019.12.22,0.3
2019.12.23,2.9
2019.12.24,
2019.12.25,
2019.12.26,0.3
2019.12.27,
2019.12.28,
2019.12.29,1.4
2019.12.30,0.4
2019.12.31,0
2020.3.1,0.2
2020.3.2,0
2020.3.3,
2020.3.4,0
2020.3.5,
2020.3.6,
2020.3.7,
2020.3.8,
2020.3.9,
2020.3.10,11.8
2020.3.11,
2020.3.12,
2020.3.13,0.5
2020.3.14,
2020.3.15,
2020.3.16,
2020.3.17,
2020.3.18,
2020.3.19,0
2020.3.20,
2020.3.21,
2020.3.22,
2020.3.23,
2020.3.24,
2020.3.25,
2020.3.26,1.8
2020.3.27,2
2020.3.28,
2020.3.29,
2020.3.30,
2020.3.31,
2020.4.1,
2020.4.2,
2020.4.3,
2020.4.4,
2020.4.5,
2020.4.6,
2020.4.7,
2020.4.8,
2020.4.9,
2020.4.10,
2020.4.11,
2020.4.12,
2020.4.13,
2020.4.14,
2020.4.15,
2020.4.16,
2020.4.17,6.5
2020.4.18,
2020.4.19,10.3
2020.4.20,0.1
2020.4.21,
2020.4.22,0
2020.4.23,
2020.4.24,
2020.4.25,
2020.4.26,
2020.4.27,
2020.4.28,
2020.4.29,
2020.4.30,
2020.5.1,
2020.5.2,0
2020.5.3,0
2020.5.4,
2020.5.5,
2020.5.6,
2020.5.7,
2020.5.8,2.3
2020.5.9,24.4
2020.5.10,1.3
2020.5.11,3.4
2020.5.12,0.7
2020.5.13,
2020.5.14,
2020.5.15,12
2020.5.16,2.5
2020.5.17,0
2020.5.18,29.8
2020.5.19,19
2020.5.20,0
2020.5.21,
2020.5.22,0
2020.5.23,0
2020.5.24,14.5
2020.5.25,
2020.5.26,1.5
2020.5.27,
2020.5.28,0
2020.5.29,
2020.5.30,
2020.5.31,1
2020.6.1,0.4
2020.6.2,2
2020.6.3,
2020.6.4,0.2
2020.6.5,
2020.6.6,
2020.6.7,
2020.6.8,
2020.6.9,
2020.6.10,6.2
2020.6.11,0
2020.6.12,
2020.6.13,0
2020.6.14,1.1
2020.6.15,
2020.6.16,
2020.6.17,
2020.6.18,
2020.6.19,0.1
2020.6.20,
2020.6.21,
2020.6.22,
2020.6.23,0
2020.6.24,37.6
2020.6.25,13.3
2020.6.26,2.1
2020.6.27,0
2020.6.28,
2020.6.29,11.9
2020.6.30,64.7
2020.7.1,0
2020.7.2,
2020.7.3,0.1
2020.7.4,1.6
2020.7.5,
2020.7.6,
2020.7.7,0
2020.7.8,
2020.7.9,
2020.7.10,2.2
2020.7.11,
2020.7.12,2.9
2020.7.13,47.6
2020.7.14,11.5
2020.7.15,
2020.7.16,
2020.7.17,0
2020.7.18,
2020.7.19,29.1
2020.7.20,3.6
2020.7.21,0
2020.7.22,11.5
2020.7.23,103.1
2020.7.24,2.9
2020.7.25,0
2020.7.26,0
2020.7.27,2.2
2020.7.28,0.4
2020.7.29,50.1
2020.7.30,0.1
2020.7.31,1.5
2020.8.1,39.1
2020.8.2,31.4
2020.8.3,102.6
2020.8.4,3.9
2020.8.5,18.5
2020.8.6,75.7
2020.8.7,0
2020.8.8,19.1
2020.8.9,50.3
2020.8.10,44.6
2020.8.11,97
2020.8.12,
2020.8.13,
2020.8.14,0.4
2020.8.15,69
2020.8.16,
2020.8.17,
2020.8.18,
2020.8.19,
2020.8.20,
2020.8.21,2.5
2020.8.22,42.6
2020.8.23,
2020.8.24,
2020.8.25,
2020.8.26,0.6
2020.8.27,8.7
2020.8.28,13.6
2020.8.29,13.6
2020.8.30,42.5
2020.8.31,0
2020.9.1,0
2020.9.2,33.3
2020.9.3,29.8
2020.9.4,
2020.9.5,
2020.9.6,6.4
2020.9.7,61
2020.9.8,0
2020.9.9,1.3
2020.9.10,3.9
2020.9.11,1.2
2020.9.12,5.7
2020.9.13,
2020.9.14,0
2020.9.15,
2020.9.16,0.3
2020.9.17,
2020.9.18,
2020.9.19,0.3
2020.9.20,
2020.9.21,
2020.9.22,
2020.9.23,
2020.9.24,
2020.9.25,
2020.9.26,
2020.9.27,
2020.9.28,
2020.9.29,
2020.9.30,38.3
2020.10.1,
2020.10.2,0
2020.10.3,0
2020.10.4,0
2020.10.5,
2020.10.6,
2020.10.7,
2020.10.8,
2020.10.9,
2020.10.10,
2020.10.11,
2020.10.12,
2020.10.13,
2020.10.14,
2020.10.15,
2020.10.16,
2020.10.17,
2020.10.18,
2020.10.19,
2020.10.20,
2020.10.21,
2020.10.22,0
2020.10.23,
2020.10.24,
2020.10.25,
2020.10.26,
2020.10.27,
2020.10.28,
2020.10.29,
2020.10.30,
2020.10.31,
2020.11.1,13.6
2020.11.2,1.7
2020.11.3,0.5
2020.11.4,
2020.11.5,
2020.11.6,
2020.11.7,0.1
2020.11.8,
2020.11.9,
2020.11.10,
2020.11.11,
2020.11.12,
2020.11.13,
2020.11.14,
2020.11.15,
2020.11.16,
2020.11.17,0.1
2020.11.18,12.2
2020.11.19,86.9
2020.11.20,0
2020.11.21,0.2
2020.11.22,4.8
2020.11.23,
2020.11.24,
2020.11.25,
2020.11.26,
2020.11.27,0
2020.11.28,
2020.11.29,
2020.11.30,
2020.12.1,
2020.12.2,
2020.12.3,
2020.12.4,
2020.12.5,
2020.12.6,
2020.12.7,
2020.12.8,
2020.12.9,
2020.12.10,0
2020.12.11,
2020.12.12,
2020.12.13,2.9
2020.12.14,
2020.12.15,
2020.12.16,
2020.12.17,0
2020.12.18,0.2
2020.12.19,
2020.12.20,
2020.12.21,
2020.12.22,
2020.12.23,0
2020.12.24,
2020.12.25,
2020.12.26,
2020.12.27,0
2020.12.28,1.3
2020.12.29,0.2
2020.12.30,
2020.12.31,0
2021.3.1,67.5
2021.3.2,0.1
2021.3.3,
2021.3.4,
2021.3.5,
2021.3.6,
2021.3.7,
2021.3.8,
2021.3.9,
2021.3.10,
2021.3.11,
2021.3.12,0
2021.3.13,
2021.3.14,
2021.3.15,1.7
2021.3.16,1.3
2021.3.17,
2021.3.18,
2021.3.19,
2021.3.20,5.1
2021.3.21,0.3
2021.3.22,
2021.3.23,
2021.3.24,
2021.3.25,
2021.3.26,
2021.3.27,25.5
2021.3.28,9.2
2021.3.29,0.2
2021.3.30,
2021.3.31,
2021.4.1,
2021.4.2,0
2021.4.3,56.2
2021.4.4,0.6
2021.4.5,
2021.4.6,
2021.4.7,
2021.4.8,
2021.4.9,
2021.4.10,
2021.4.11,
2021.4.12,22
2021.4.13,8
2021.4.14,
2021.4.15,
2021.4.16,0.7
2021.4.17,0
2021.4.18,
2021.4.19,
2021.4.20,
2021.4.21,
2021.4.22,
2021.4.23,0
2021.4.24,0
2021.4.25,
2021.4.26,
2021.4.27,1.7
2021.4.28,4.7
2021.4.29,3.9
2021.4.30,26.3
2021.5.1,8
2021.5.2,1.7
2021.5.3,
2021.5.4,19.6
2021.5.5,0.1
2021.5.6,
2021.5.7,8.8
2021.5.8,
2021.5.9,
2021.5.10,0
2021.5.11,
2021.5.12,
2021.5.13,
2021.5.14,
2021.5.15,15
2021.5.16,66.9
2021.5.17,3.1
2021.5.18,
2021.5.19,
2021.5.20,0.9
2021.5.21,6.9
2021.5.22,0.2
2021.5.23,
2021.5.24,
2021.5.25,8.3
2021.5.26,0
2021.5.27,8.9
2021.5.28,12.3
2021.5.29,0.3
2021.5.30,18.1
2021.5.31,4
2021.6.1,3.2
2021.6.2,
2021.6.3,18.1
2021.6.4,
2021.6.5,
2021.6.6,
2021.6.7,0
2021.6.8,0.1
2021.6.9,
2021.6.10,6.1
2021.6.11,4.6
2021.6.12,
2021.6.13,
2021.6.14,
2021.6.15,1.9
2021.6.16,
2021.6.17,0
2021.6.18,6.3
2021.6.19,
2021.6.20,
2021.6.21,
2021.6.22,0
2021.6.23,7.5
2021.6.24,
2021.6.25,
2021.6.26,4.5
2021.6.27,38.2
2021.6.28,0.1
2021.6.29,8
2021.6.30,6
2021.7.1,
2021.7.2,
2021.7.3,60
2021.7.4,21.4
2021.7.5,
2021.7.6,
2021.7.7,12.7
2021.7.8,2.9
2021.7.9,0
2021.7.10,0.5
2021.7.11,0.4
2021.7.12,
2021.7.13,
2021.7.14,
2021.7.15,0
2021.7.16,
2021.7.17,0
2021.7.18,
2021.7.19,67.4
2021.7.20,0
2021.7.21,
2021.7.22,
2021.7.23,
2021.7.24,
2021.7.25,
2021.7.26,
2021.7.27,
2021.7.28,0
2021.7.29,
2021.7.30,
2021.7.31,3
2021.8.1,21
2021.8.2,1.7
2021.8.3,0
2021.8.4,
2021.8.5,
2021.8.6,
2021.8.7,
2021.8.8,12.7
2021.8.9,
2021.8.10,
2021.8.11,0
2021.8.12,0
2021.8.13,
2021.8.14,
2021.8.15,
2021.8.16,0
2021.8.17,9.3
2021.8.18,5.6
2021.8.19,
2021.8.20,0
2021.8.21,62.8
2021.8.22,0
2021.8.23,7.4
2021.8.24,10.5
2021.8.25,0.3
2021.8.26,0.7
2021.8.27,0.9
2021.8.28,
2021.8.29,0.9
2021.8.30,0
2021.8.31,77.4
2021.9.1,0.8
2021.9.2,
2021.9.3,
2021.9.4,
2021.9.5,
2021.9.6,12
2021.9.7,29.6
2021.9.8,1.6
2021.9.9,
2021.9.10,
2021.9.11,
2021.9.12,
2021.9.13,
2021.9.14,
2021.9.15,
2021.9.16,
2021.9.17,
2021.9.18,
2021.9.19,
2021.9.20,
2021.9.21,68.1
2021.9.22,4.5
2021.9.23,
2021.9.24,
2021.9.25,
2021.9.26,
2021.9.27,0
2021.9.28,1.3
2021.9.29,13.1
2021.9.30,
2021.10.1,13.3
2021.10.2,
2021.10.3,
2021.10.4,3.6
2021.10.5,0
2021.10.6,6.4
2021.10.7,4.6
2021.10.8,3.5
2021.10.9,0.4
2021.10.10,14.2
2021.10.11,0.3
2021.10.12,
2021.10.13,
2021.10.14,
2021.10.15,0
2021.10.16,0
2021.10.17,
2021.10.18,5.6
2021.10.19,4.4
2021.10.20,
2021.10.21,
2021.10.22,
2021.10.23,
2021.10.24,
2021.10.25,
2021.10.26,
2021.10.27,0
2021.10.28,
2021.10.29,
2021.10.30,
2021.10.31,0.7
2021.11.1,
2021.11.2,
2021.11.3,
2021.11.4,0
2021.11.5,
2021.11.6,
2021.11.7,
2021.11.8,25.7
2021.11.9,2
2021.11.10,0.3
2021.11.11,0
2021.11.12,
2021.11.13,
2021.11.14,
2021.11.15,
2021.11.16,
2021.11.17,
2021.11.18,0
2021.11.19,
2021.11.20,
2021.11.21,5.9
2021.11.22,1.3
2021.11.23,
2021.11.24,0
2021.11.25,
2021.11.26,0
2021.11.27,
2021.11.28,
2021.11.29,
2021.11.30,27.2
2021.12.1,
2021.12.2,0.1
2021.12.3,0.4
2021.12.4,
2021.12.5,
2021.12.6,
2021.12.7,
2021.12.8,
2021.12.9,
2021.12.10,0.7
2021.12.11,
2021.12.12,
2021.12.13,
2021.12.14,1.2
2021.12.15,2.1
2021.12.16,0
2021.12.17,
2021.12.18,2.8
2021.12.19,0.2
2021.12.20,0
2021.12.21,
2021.12.22,
2021.12.23,
2021.12.24,0.2
2021.12.25,
2021.12.26,
2021.12.27,0
2021.12.28,
2021.12.29,0.2
2021.12.30,0
2021.12.31,
2022.3.1,2.3
2022.3.2,
2022.3.3,
2022.3.4,
2022.3.5,
2022.3.6,
2022.3.7,
2022.3.8,
2022.3.9,
2022.3.10,
2022.3.11,
2022.3.12,2.6
2022.3.13,42.1
2022.3.14,8.7
2022.3.15,
2022.3.16,
2022.3.17,1.2
2022.3.18,0
2022.3.19,14.6
2022.3.20,0
2022.3.21,
2022.3.22,
2022.3.23,
2022.3.24,
2022.3.25,10.9
2022.3.26,19.8
2022.3.27,
2022.3.28,
2022.3.29,
2022.3.30,0.4
2022.3.31,
2022.4.1,
2022.4.2,
2022.4.3,
2022.4.4,
2022.4.5,
2022.4.6,
2022.4.7,
2022.4.8,
2022.4.9,0.5
2022.4.10,
2022.4.11,
2022.4.12,0.5
2022.4.13,1.3
2022.4.14,
2022.4.15,
2022.4.16,
2022.4.17,
2022.4.18,
2022.4.19,
2022.4.20,
2022.4.21,
2022.4.22,
2022.4.23,
2022.4.24,0.3
2022.4.25,1.3
2022.4.26,1
2022.4.27,
2022.4.28,0
2022.4.29,15.5
2022.4.30,
2022.5.1,
2022.5.2,
2022.5.3,
2022.5.4,
2022.5.5,
2022.5.6,
2022.5.7,0.5
2022.5.8,2
2022.5.9,
2022.5.10,0
2022.5.11,0
2022.5.12,
2022.5.13,
2022.5.14,
2022.5.15,
2022.5.16,
2022.5.17,
2022.5.18,1.5
2022.5.19,
